book_name,author,number_of_reviews,rating(5),publishing_house,year_of_publication,bookbinding,quantity_of_pages,language,quantity_of_ratings_5,quantity_of_ratings_4,quantity_of_ratings_3,quantity_of_ratings_2,quantity_of_ratings_1
100 лучших стикеров «Black&White», А. К. Соломкина,6,4.8,Росмэн,2020,мягкая обложка,8,Русский,5,1,0,0,0
Секрет пролитых чернил, Х. Вебб,10,5,Эксмо,2016,твердый переплет,224,Русский,10,0,0,0,0
Деньги под контролем, Ш. Р. Аляутдинов,4,4.8,Диля,2019,твердый переплет,480,Русский,3,1,0,0,0
Магическая книга заклинаний,,4,5,Эксмо,2019,твердый переплет,288,Русский,4,0,0,0,0
Пять ночей у Фредди. Серебряные глаза,,9,5,Freedom,2017,твердый переплет,448,Русский,9,0,0,0,0
Энциклопедия для девочек. «Секреты моды», Е. Пинчук,9,4.9,Проф-Пресс,2018,твердый переплет,,Русский,8,1,0,0,0
"Есть, молиться, любить", Э. Гилберт,27,4.6,РИПОЛ классик,2015,мягкая обложка,640,Русский,23,0,2,1,1
Пояс Ориона, Т. В. Устинова,,,Эксмо,2020,твердый переплет,352,Русский,,,,,
Мизери, С. Э. Кинг,18,4.6,АСТ,2015,мягкая обложка,416,Русский,14,2,1,1,0
Финансы для нефинансистов, Л. Ярухина,3,5,Прогресс книга,2018,мягкая обложка,272,Русский,3,0,0,0,0
"Тренажер для мозга. Методики агентов спецслужб — развитие интеллекта, памяти и внимания", А. Могучий,7,5,АСТ,2018,твердый переплет,320,Русский,7,0,0,0,0
Ночной портье, И. Шоу,7,4.7,АСТ,2014,мягкая обложка,416,Русский,5,2,0,0,0
Чизкейк внутри. Сложные и необычные торты — легко!, В. Мельник,63,4.9,Эксмо,2017,твердый переплет,112,Русский,59,4,0,0,0
Азбука вязания. Издание обновленное и дополненное, Максимова М.В.,2,5,Эксмо,2019,твердый переплет,,Русский,2,0,0,0,0
Спаси нас. Книга 3, М. Кастен,2,5,Эксмо,2020,твердый переплет,352,Русский,2,0,0,0,0
Убить пересмешника…, Х. Ли,80,4.9,АСТ,2014,твердый переплет,416,Русский,72,5,2,1,0
Живой мир под микроскопом, Дамьен Лаверда,3,5,"Манн, Иванов и Фербер",2018,твердый переплет,36,Русский,3,0,0,0,0
"Что делать, если… 2. Продолжение полюбившейся и очень полезной книги", Л. В. Петрановская,32,5,Полиграфиздат,2013,твердый переплет,143,Русский,31,1,0,0,0
Поющие в терновнике, К. Маккалоу,31,4.9,АСТ,2016,мягкая обложка,736,Русский,28,3,0,0,0
Тихие слова любви, С. Джио,30,4.9,Эксмо,,твердый переплет,384,Русский,28,2,0,0,0
Подводный мир. Энциклопедия для детского сада,,26,5,Росмэн,2017,твердый переплет,,Русский,25,1,0,0,0
Купоны для моего мужчины, М. Черякова,,,Попурри,2020,коробка,31,Русский,,,,,
И дольше века длится день..., Ч. Т. Айтматов,17,4.9,Азбука,2016,мягкая обложка,464,Русский,16,1,0,0,0
Чтение на лето. Переходим во 2-й класс,,4,4.8,Эксмо,2014,твердый переплет,320,Русский,3,1,0,0,0
"Игры, в которые играют люди", Э. Берн,4,4.8,Эксмо,2018,мягкая обложка,288,Русский,3,1,0,0,0
Большой сборник диктантов по русскому языку. 1-4 классы," О. В. Узорова, Е. А. Нефедова",16,5,АСТ,2016,мягкая обложка,400,Русский,16,0,0,0,0
Букварь (по СанПин), Н. С. Жукова,1,5,Эксмо,2019,твердый переплет,,учебное пособие,1,0,0,0,0
Профессия - иллюстратор. Учимся мыслить творчески, Н. Ратковски,14,5,"Манн, Иванов и Фербер",2015,твердый переплет,328,Русский,14,0,0,0,0
100 лучших стикеров. Самые стильные, А. К. Соломкина,1,4,Росмэн,2020,мягкая обложка,8,Русский,0,1,0,0,0
Магнитные закладки «Моне» (6 закладок полукруглых),,3,5,,,,,,,,3,0,0
Внеклассное чтение для 1 класса, Коллектив авторов,42,4.9,Самовар,2014,твердый переплет,,Русский,39,2,1,0,0
Тренажёр по исправлению почерка. Тетрадь №2. Русский язык. Для начальной школы. ФГОС, Л. Е. Тарасова,7,4.9,5 за знания,52015,мягкая обложка,32,Русский,6,1,0,0,0
Прикладная кинезиология. Восстановление тонуса и функций скелетных мышц, Л. Ф. Васильева,6,4.8,Эксмо,2018,твердый переплет,304,Русский,5,1,0,0,0
Большой альбом по развитию речи для самых маленьких, О. А. Новиковская,3,4.7,АСТ,2016,интегральный переплет,160,Русский,2,1,0,0,0
Поллианна, Элинор Портер,27,4.9,Махаон,2017,твердый переплет,256,Русский,26,0,0,1,0
Альбом по развитию речи для самых маленьких, О. А. Новиковская,9,5,Сова,2011,мягкая обложка,88,Русский,9,0,0,0,0
Убийство в «Восточном экспрессе», А. Кристи,8,5,Эксмо,2018,твердый переплет,320,Русский,8,0,0,0,0
Кофейня, В. Прах,29,4.3,АСТ,2016,твердый переплет,288,Русский,17,7,3,0,2
Английский язык. Полная грамматика, В. А. Державина,6,4.8,АСТ,2018,мягкая обложка,320,Русский,5,1,0,0,0
Обезьяна в твоей голове. Думай о хорошем, Б. Девепорт,6,4.8,Питер,2018,твердый переплет,224,Русский,5,1,0,0,0
Граф Монте-Кристо. В 2-х книгах. Книга 1, А. Дюма - отец,6,5,АСТ,2019,твердый переплет,624,Русский,6,0,0,0,0
